,text,label
2,Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?,beneficiary_not_allowed
3,Why is it saying I have a pending payment?,pending_card_payment
6,What is the procedure for depositing a virtual card,get_disposable_virtual_card
7,i have a pending top-up,pending_top_up
8,What card or currency can I use to pay?,supported_cards_and_currencies
11,Where can I check out the source of available funds in my account?,verify_source_of_funds
12,My top up was denied,top_up_failed
13,Do I need to verify the top-up?,verify_top_up
16,I got billed an extra pound!,extra_charge_on_statement
17,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival
26,"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",failed_transfer
30,how to change name on account,edit_personal_details
31,How long does it take to verify a person's identity?,unable_to_verify_identity
35,Can my PIN changed remotely without visiting a bank?,change_pin
37,Would I be charged any fees if I added money to my account using an international card?,top_up_by_card_charge
38,How can a payment be declined,declined_card_payment
40,I got an unexpected charge on my transfers. How can I correct this?,transfer_fee_charged
41,"What do I do with my ""decline"" message on a transfer?",declined_transfer
42,What is the maximum transactions I can use on a disposable card?,disposable_card_limits
44,Why am I being charged for transferring money?,transfer_fee_charged
46,Can I check to see where the funds came from?,verify_source_of_funds
49,Please tell me where I can update my details since I moved.,edit_personal_details
50,"I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?",reverted_card_payment?
51,I need to update my address.,edit_personal_details
56,Is going to a bank only way to change my PIN?,change_pin
57,I tried to pay with my card and it didn't work,declined_card_payment
58,Lost password,passcode_forgotten
60,I would like a  physical card sent to me.,order_physical_card
62,If I need more than cards will I have to pay a fee to receive them?,getting_spare_card
63,Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,declined_card_payment
64,I transferred money and it didn't get there.,transfer_not_received_by_recipient
65,You sent me a card and now I want to link it.,card_linking
66,I didn't see the money I added to my card.,top_up_failed
67,"Please double check my card - withdrawal was working fine so far, but this morning on the way to work it suddenly got declined!",declined_cash_withdrawal
68,Do you accept cheques for top-up?,top_up_by_cash_or_cheque
69,Why can I not do a  transfer,beneficiary_not_allowed
71,Why is there an extra fee on my statement?,extra_charge_on_statement
72,After taking over my card transactions I noticed that was charged twice for a restaurant purchased from earlier this week. Can you please remove one of these transactions from my account since it is not accurate?,transaction_charged_twice
73,"I need to reset my passcode, this one isn't working",passcode_forgotten
74,How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,transfer_not_received_by_recipient
77,I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,beneficiary_not_allowed
79,Help.  My card is broken.,card_not_working
81,Why am I not allowed to verify my id?,unable_to_verify_identity
82,Help me.  The passcode doesn't work.,passcode_forgotten
86,"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",lost_or_stolen_card
87,explain the virtual card,getting_virtual_card
88,What are the restrictions on the virtual cards?,disposable_card_limits
89,I found my card again. Can I put it back into the app?,card_linking
94,What top up charges are there for US cards?,top_up_by_card_charge
96,"I could not get a top-up to work, why?",top_up_failed
97,Why did my card get charged twice for a transaction?,transaction_charged_twice
98,"I would like a disposable virtual card, could I get one?",get_disposable_virtual_card
99,Why doesn't the person I sent money to see that transfer yet?,transfer_not_received_by_recipient
100,I have been trying to make transfers to another account but I keep getting a declined notice. I have checked all of my information more than once and my information is accurate.,declined_transfer
102,Verifying top-up cards necessary?,verify_top_up
103,I didn't cancel my card payment.,reverted_card_payment?
104,What would be a reason my transfer got declined?,declined_transfer
105,I had a card payment that was declined.  Why?,declined_card_payment
106,what was the $1 fee i got,extra_charge_on_statement
107,"I would like open a second card for my daughter, how can you assist me?",getting_spare_card
109,Is it right that I've been charged for transferring money?,transfer_fee_charged
110,Where are the cards transported to?,order_physical_card
