BookRestaurant	 	i need a table at eddie s attic in nevada for one	E
AddToPlaylist	 	can you add last of the ghetto astronauts to the playlist called black sabbath the dio years	E
PlayMusic	 	please play a movement from george formby jr 	E
GetWeather	 	what is the forecast for colder temps beginning on law day here	E
AddToPlaylist	 	add this artist to my electronic bliss playlist	E
GetWeather	 	is there a storm now in nc	E
AddToPlaylist	 	add toyan to my epic gaming playlist 	E
GetWeather	 	will it be rainy in tenino	E
SearchCreativeWork	 	wish to see the photograph with the name live: right here	E
AddToPlaylist	 	add a very cellular song to masters of metal playlist	E
PlayMusic	 	i want to hear anything from the rock symphonique genre please 	E
GetWeather	 	what will the weather be here on dec  7th	E
AddToPlaylist	 	add tierney sutton to my novedades viernes sudamérica playlist	E
SearchCreativeWork	 	wish to find the movie the heart beat	E
GetWeather	 	how s the weather at petit manan national wildlife refuge and nearby right now	E
SearchCreativeWork	 	find me the novel with the name to lose my life …	E
BookRestaurant	 	i want to book a restaurant for my father in law and i in buckner a year from now 	E
SearchCreativeWork	 	search for the game difficult loves	E
AddToPlaylist	 	add martin barre to my punk unplugged playlist 	E
GetWeather	 	will it be rainy at sunrise in ramey saudi arabia	E
BookRestaurant	 	book a restaurant for six at an outdoor cafe in åland	E
PlayMusic	 	play subconscious lobotomy from jennifer paull 	E
BookRestaurant	 	book me a reservation for a pub in cormorant for a party of nine	E
PlayMusic	 	play some anneliese van der pol from the thirties on groove shark	E
PlayMusic	 	can you put on like a hurricane by paul landers	E
SearchCreativeWork	 	please search for the journal of official statistics show 	E
BookRestaurant	 	book a reservation for nine people at the best pub nearby tangier in six months	E
BookRestaurant	 	book me a reservation for a party of 3 at a pub in northern mariana islands	E
SearchCreativeWork	 	search for appalachian journey	E
SearchCreativeWork	 	please fine me the tv series  now we are married 	E
GetWeather	 	what is the forecast in admire in tx starting at seventeen 	E
PlayMusic	 	play something on last fm	E
PlayMusic	 	play music off netflix 	E
BookRestaurant	 	book spot for 4 in somalia	E
GetWeather	 	overcast on state holiday in pawling nature reserve  and neighboring places	E
BookRestaurant	 	book a restaurant reservation in 6 weeks	E
AddToPlaylist	 	put petar georgiev kalica onto the old school hip hop playlist 	E
AddToPlaylist	 	add the song to the mac  n cheese playlist 	E
GetWeather	 	will the sun be out in 1 minute in searcy  uganda	E
AddToPlaylist	 	add abacab to beryl s party on fridays playlist	E
SearchCreativeWork	 	can you get me the controlled conversations tv series	E
SearchCreativeWork	 	look for the television show meet the prince	E
SearchCreativeWork	 	please find me the classified book 	E
GetWeather	 	what is the weather forecast for burundi	E
BookRestaurant	 	book a reservation for me and my step brother at amt coffee in lakemoor	E
AddToPlaylist	 	add brazilian flag anthem to top 100 alternative tracks on spotify	E
PlayMusic	 	play paul mccartney	E
PlayMusic	 	play trance life on zvooq 	E
PlayMusic	 	open deezer and play curtain call: the hits by junichi okada 	E
SearchCreativeWork	 	look for the album slave to the grind	E
GetWeather	 	will it be colder in virgin islands national park	E
BookRestaurant	 	i want to book oregon electric station in north city 	E
SearchCreativeWork	 	can you find me the national anthem of the ancient britons television show	E
BookRestaurant	 	i want to book a restaurant for five people in sri lanka 	E
GetWeather	 	will there be a blizzard next winter in visalia  idaho	E
AddToPlaylist	 	add the boy george track to the emo forever playlist 	E
PlayMusic	 	play some movement from the fourties	E
AddToPlaylist	 	add digging now to my young at heart playlist	E
PlayMusic	 	go to itunes and play dr  lecter by david hodges	E
BookRestaurant	 	i want to book a jewish restaurant in gambia 	E
GetWeather	 	what is the weather going to be like in virginia on st  patrick s day	E
BookRestaurant	 	i want to book a sundanese gastropub nearby in texas for 3 people on 5/20/2025 	E
AddToPlaylist	 	i need to add to my infinite indie folk list the works of rahim shah	E
SearchCreativeWork	 	can you find me  hey man	E
BookRestaurant	 	book spot for 7 at an indoor restaurant in mp now	E
GetWeather	 	will it be hot at 13:19 in de funiak springs serbia and montenegro	E
AddToPlaylist	 	to the travelling playlist  please add this david gahan song 	E
SearchCreativeWork	 	can you find me the work titled music for millions	E
GetWeather	 	what is the rain forecast for one hour from now in south korea	E
GetWeather	 	tell me the forecast for 6 am in tatra-nationalpark	E
PlayMusic	 	play some new les vandyke on slacker	E
BookRestaurant	 	i want to book a churrascaria in romeoville at ten a m for four people 	E
BookRestaurant	 	i want to book a joint close by the naomi s hostel for a meal for 8 people 	E
